"";"SchoolName2";"variable";"estimate";"Total";"Percent";"LeaveTime";"CumPer";"LeaveDT";"School.name";"Proposed.tier";"Start";"End";"Type";"Name";"Address";"State";"MailingAddress";"CurrentStartTime";"Total.Students";"Female";"%.Female";"Gender.X";"%.Gender.X";"Male";"%.Male";"American.Indian/.Alaskan.Native";"%.American.Indian/.Alaskan.Native";"Asian";"%.Asian";"Black/.African.American";"%.Black/.African.American";"Hispanic/.Latino.of.any.race(s)";"%.Hispanic/.Latino.of.any.race(s)";"Native.Hawaiian/.Other.Pacific.Islander";"%.Native.Hawaiian/.Other.Pacific.Islander";"Two.or.More.Races";"%.Two.or.More.Races";"White";"%.White";"English.Language.Learners";"%.English.Language.Learners";"Foster.Care";"%.Foster.Care";"Highly.Capable";"%.Highly.Capable";"Homeless";"%.Homeless";"Low-Income";"%.Low-Income";"Migrant";"%.Migrant";"Military.Parent";"%.Military.Parent";"Mobile";"%.Moble";"Section.504";"%.Section.504";"Students.with.Disabilities";"%.Students.with.Disabilities";"Non-English.Language.Learners";"%.Non-English.Language.Learners";"Non-Foster.Care";"%.Non-Foster.Care";"Non-Highly.Capable";"%.Non-Highly.Capable";"Non-Homeless";"%.Non-Homeless";"Non-Low.Income";"%.Non-Low.Income";"Non.Migrant";"%.Non.Migrant";"Non.Military.Parent";"%.Non.Military.Parent";"Non.Mobile";"%.Non.Mobile";"Non.Section.504";"%.Non.Section.504";"Students.without.Disabilities";"%.Students.without.Disabilities";"2020-21.FRPL.%.based.on.2019-20.as.of.Mar.31";"2020-21.Preliminary.FRPL.%.based.on.2019-20.data.as.of.Mar.6";"2020-21.Preliminary.FRPL.%.based.on.2019-20.data.as.of.Jan.29";"2019-20.FINAL.FRPL.%.based.on.2018-19.data";"2018-19.FINAL.FRPL.%.based.on.2017-18..data";"3.Year.Average.for.2020-21.Eligibility";"Preliminary.High.Poverty.Eligibility.for.SY.2020-21";"Title.I.School.Wide";"Title1";"ProposedStart";"TimeShift";"ADR_LGT";"ADR_LTT";"GEOID";"median_hhi";"HHI_group";"NeedToLeave";"HighPoverty";"FRPL"
"11";"Bryant Elementary School";"Go2Work_0900";1590;14069;0,113014428886204;9H 0M 0S;0,749164830478357;2022-04-26 09:00:00;"Bryant​";3;"9:30 a.m.";"4 p.m.";"Elementary School";"Bryant Elementary";"3311 NE 60th St.";"Seattle, WA 98115";"3311 NE 60th St.,Seattle, WA 98115";2022-04-26 07:55:00;450;208;0,4622222222;1;0,002222222222;241;0,5355555556;0;0;61;0,1355555556;3;0,006666666667;29;0,06444444444;0;0;64;0,1422222222;293;0,6511111111;24;0,05333333333;0;0;43;0,09555555556;0;0;24;0,05333333333;0;0;4;0,008888888889;2;0,004444444444;1;0,002222222222;26;0;426;0,9466666667;450;1;407;0,9044444444;450;1;426;0,9466666667;450;1;446;0,9911111111;448;0,9955555556;449;0,9977777778;424;0,9422222222;0,0447;0,0447;0,0447;0,0377;0,041025641025641;0,0411;"No";NA;"No";2022-04-26 09:30:00;95;-122,292;47,67152;"53033004202";128604,7;"100-150K";2022-04-26 09:00:00;"No";0,0411
"12";"Cascadia Elementary";"Go2Work_0700";4956;50484;0,0981697171381032;7H 0M 0S;0,227993027493859;2022-04-26 07:00:00;"Cascadia​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Cascadia Elementary";"1700 N 90th St.";"Seattle, WA 98103";"1700 N 90th St.,Seattle, WA 98103";2022-04-26 07:55:00;498;231;0,4638554217;0;0;267;0,5361445783;0;0;91;0,1827309237;25;0,05020080321;45;0,09036144578;0;0;99;0,1987951807;238;0,4779116466;11;0,02208835341;0;0;475;0,953815261;0;0;33;0,06626506024;0;0;2;0,004016064257;7;0,0140562249;5;0,01004016064;47;0;487;0,9779116466;498;1;23;0,04618473896;498;1;465;0,9337349398;498;1;496;0,9959839357;491;0,9859437751;493;0,9899598394;451;0,90562249;0,0277;0,0277;0,0277;0,0254;0,0380952380952381;0,0304;"No";NA;"No";2022-04-26 07:40:00;-15;-122,33729;47,69494;"53033001800";105404,015151515;"100-150K";2022-04-26 07:10:00;"No";0,0304
"13";"Catharine Blaine K-8 School";"Go2Work_0900";274;3640;0,0752747252747253;9H 0M 0S;0,812362637362637;2022-04-26 09:00:00;"Catharine Blaine​";3;"9:30 a.m.";"4 p.m.";"K-8";"Catharine Blaine K-8";"2550 34th Ave. W";"Seattle, WA 98199";"2550 34th Ave. W,Seattle, WA 98199";2022-04-26 08:55:00;466;215;0,4613733906;1;0,002145922747;250;0,5364806867;1;0,002145922747;35;0,07510729614;7;0,01502145923;38;0,08154506438;0;0;54;0,1158798283;331;0,7103004292;19;0,04077253219;0;0;18;0,03862660944;0;0;26;0,05579399142;0;0;1;0,002145922747;9;0,01931330472;8;0,01716738197;59;0;447;0,9592274678;466;1;448;0,9613733906;466;1;440;0,9442060086;466;1;465;0,9978540773;457;0,9806866953;458;0,982832618;407;0,8733905579;0,0556;0,0556;0,0556;0,0685;0,0652173913043478;0,0631;"No";NA;"No";2022-04-26 09:30:00;35;-122,40039;47,64278;"53033005700";170222,285714286;">150K";2022-04-26 09:00:00;"No";0,0631
"14";"Cedar Park Elementary School";"Go2Work_0700";2240;22320;0,100358422939068;7H 0M 0S;0,241532258064516;2022-04-26 07:00:00;"Cedar Park​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Cedar Park Elementary";"3737 NE 135th St.";"Seattle, WA 98125";"3737 NE 135th St.,Seattle, WA 98125";2022-04-26 07:55:00;224;121;0,5401785714;2;0,008928571429;101;0,4508928571;0;0;32;0,1428571429;16;0,07142857143;20;0,08928571429;0;0;37;0,1651785714;119;0,53125;19;0,08482142857;0;0;12;0,05357142857;3;0,01339285714;48;0,2142857143;0;0;1;0,004464285714;4;0,01785714286;0;0;13;5,978954082e-05;205;0,9151785714;224;1;212;0,9464285714;221;0,9866071429;176;0,7857142857;224;1;223;0,9955357143;220;0,9821428571;224;1;211;0,9419642857;0,1611;0,1611;0,1611;0,1754;0,127272727272727;0,1546;"No";NA;"No";2022-04-26 07:40:00;-15;-122,28747;47,72606;"53033000102";99752,3333333333;"50-100K";2022-04-26 07:10:00;"No";0,1546
"15";"Chief Sealth International High School";"Go2Work_0800";4018;32903;0,122116524329089;8H 0M 0S;0,591222684861563;2022-04-26 08:00:00;"Chief Sealth ​";2;"8:30 a.m.";"3:20 p.m.";"High School";"Chief Sealth International High School";"2600 SW Thistle St.";"Seattle, WA 98126";"2600 SW Thistle St.,Seattle, WA 98126";2022-04-26 08:55:00;1204;549;0,4559800664;11;0,009136212625;644;0,5348837209;11;0,009136212625;191;0,1586378738;277;0,2300664452;350;0,2906976744;12;0,009966777409;104;0,08637873754;259;0,2151162791;219;0,1818936877;0;0;21;0,01744186047;27;0,02242524917;806;0,6694352159;1;0,0008305647841;3;0,002491694352;52;0,04318936877;18;0,01495016611;242;1,862562223e-05;985;0,8181063123;1195;0,9925249169;1183;0,9825581395;1177;0,9775747508;398;0,3305647841;1203;0,9991694352;1201;0,9975083056;1152;0,9568106312;1186;0,9850498339;962;0,7990033223;0,6138;0,6138;0,6143;0,6265;0,634005763688761;0,6248;"Yes";NA;"No";2022-04-26 08:30:00;-25;-122,36619;47,52889;"53033011401";88389,7291666667;"50-100K";2022-04-26 08:00:00;"Yes";0,6248
"16";"Cleveland High School STEM";"Go2Work_0800";3300;27099;0,121775711280859;8H 0M 0S;0,509280785268829;2022-04-26 08:00:00;"Cleveland​";2;"8:30 a.m.";"3:20 p.m.";"High School";"Cleveland High School";"5511 15th Ave. S";"Seattle, WA 98108";"5511 15th Ave. S,Seattle, WA 98108";2022-04-26 08:45:00;908;411;0,4526431718;2;0,002202643172;495;0,545154185;4;0,004405286344;401;0,4416299559;212;0,2334801762;105;0,1156387665;2;0,002202643172;82;0,09030837004;102;0,1123348018;80;0,08810572687;0;0;39;0,04295154185;21;0,0231277533;519;0,5715859031;0;0;5;0,00550660793;5;0,00550660793;33;0,03634361233;79;2,547109395e-05;828;0,9118942731;907;0,9988986784;869;0,9570484581;887;0,9768722467;389;0,4284140969;908;1;903;0,9944933921;903;0,9944933921;875;0,9636563877;829;0,9129955947;0,5415;0,5415;0,5415;0,5557;0,598163030998852;0,5651;"Yes";NA;"No";2022-04-26 08:30:00;-15;-122,31391;47,5523;"53033010402";77810,325;"50-100K";2022-04-26 08:00:00;"Yes";0,5651
"17";"Concord International School";"Go2Work_0700";1004;9404;0,106763079540621;7H 0M 0S;0,349319438536793;2022-04-26 07:00:00;"Concord​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Concord International Elementary";"723 S. Concord St.";"Seattle, WA 98108";"723 S. Concord St.,Seattle, WA 98108";2022-04-26 08:55:00;315;165;0,5238095238;1;0,003174603175;149;0,473015873;2;0,006349206349;40;0,126984127;40;0,126984127;155;0,4920634921;6;0,01904761905;25;0,07936507937;47;0,1492063492;146;0,4634920635;0;0;5;0,01587301587;33;0,1047619048;216;0,6857142857;0;0;2;0,006349206349;13;0,04126984127;0;0;38;0,0003325774754;169;0,5365079365;315;1;310;0,9841269841;282;0,8952380952;99;0,3142857143;315;1;313;0,9936507937;302;0,9587301587;315;1;277;0,8793650794;0,6677;0,6677;0,6677;0,7167;0,769452449567723;0,718;"Yes";"School-wide";"School-wide";2022-04-26 07:40:00;-75;-122,324317;47,523545;"53033011200";69304,6666666667;"50-100K";2022-04-26 07:10:00;"Yes";0,718
"18";"Daniel Bagley Elementary School";"Go2Work_0900";1159;12537;0,0924463587780171;9H 0M 0S;0,775225333014278;2022-04-26 09:00:00;"Daniel Bagley​";3;"9:30 a.m.";"4 p.m.";"Elementary School";"Daniel Bagley Elementary";"7821 Stone Ave. N";"Seattle, WA 98103";"7821 Stone Ave. N,Seattle, WA 98103";2022-04-26 07:55:00;322;153;0,4751552795;0;0;169;0,5248447205;0;0;26;0,08074534161;20;0,06211180124;36;0,1118012422;1;0,003105590062;50;0,1552795031;189;0,5869565217;28;0,08695652174;0;0;14;0,04347826087;6;0,01863354037;56;0,1739130435;0;0;1;0,003105590062;8;0,0248447205;4;0,01242236025;58;5,78681378e-05;294;0,9130434783;322;1;308;0,9565217391;316;0,9813664596;266;0,8260869565;322;1;321;0,9968944099;314;0,9751552795;318;0,9875776398;264;0,8198757764;0,1362;0,1362;0,1362;0,1067;0,117647058823529;0,1202;"No";NA;"No";2022-04-26 09:30:00;95;-122,34244;47,68626;"53033002700";118141,785714286;"100-150K";2022-04-26 09:00:00;"No";0,1202
"19";"David T. Denny International Middle School";"Go2Work_0900";1771;32903;0,0538248791903474;9H 0M 0S;0,739962921314166;2022-04-26 09:00:00;"Denny​";3;"9:30 a.m.";"4:20 p.m.";"Middle School";"Denny International Middle School";"2601 SW Kenyon St.";"Seattle, WA 98126";"2601 SW Kenyon St.,Seattle, WA 98126";2022-04-26 07:55:00;856;415;0,4848130841;3;0,003504672897;438;0,511682243;4;0,004672897196;104;0,1214953271;173;0,2021028037;228;0,2663551402;10;0,01168224299;100;0,1168224299;237;0,2768691589;186;0,2172897196;0;0;19;0,02219626168;21;0,02453271028;531;0,6203271028;0;0;4;0,004672897196;26;0,03037383178;12;0,01401869159;158;2,865970827e-05;670;0,7827102804;854;0,9976635514;837;0,9778037383;835;0,9754672897;325;0,3796728972;856;1;852;0,9953271028;830;0,9696261682;844;0,9859813084;698;0,8154205607;0,6539;0,6539;0,6544;0,6878;0,697841726618705;0,6798;"Yes";"School-wide";"School-wide";2022-04-26 09:30:00;95;-122,36605;47,53135;"53033011401";88389,7291666667;"50-100K";2022-04-26 09:00:00;"Yes";0,6798
"20";"Dearborn Park International School";"Go2Work_0900";329;6906;0,0476397335650159;9H 0M 0S;0,653924123950188;2022-04-26 09:00:00;"Dearborn Park​";3;"9:30 a.m.";"4 p.m.";"Elementary School";"Dearborn Park International Elementary";"2820 S Orcas St.";"Seattle, WA 98108";"2820 S Orcas St.,Seattle, WA 98108";2022-04-26 07:55:00;307;162;0,5276872964;4;0,01302931596;141;0,4592833876;3;0,009771986971;124;0,4039087948;64;0,2084690554;42;0,1368078176;2;0,00651465798;36;0,1172638436;36;0,1172638436;120;0,3908794788;0;0;14;0,04560260586;6;0,01954397394;168;0,5472312704;0;0;0;0;4;0,01302931596;0;0;32;6,36611529e-05;187;0,6091205212;306;0,996742671;293;0,9543973941;301;0,9804560261;139;0,4527687296;307;1;307;1;303;0,986970684;307;1;275;0,8957654723;0,5441;0,5441;0,5427;0,6037;0,706552706552707;0,6181;"Yes";"School-wide";"School-wide";2022-04-26 09:30:00;95;-122,296315;47,552265;"53033010401";71524,7;"50-100K";2022-04-26 09:00:00;"Yes";0,6181
"21";"Dunlap Elementary School";"Go2Work_0900";405;7179;0,0564145424153782;9H 0M 0S;0,649115475692993;2022-04-26 09:00:00;"Dunlap​";3;"9:30 a.m.";"4 p.m.";"Elementary School";"Dunlap Elementary";"4525 S Cloverdale St.";"Seattle, WA 98118";"4525 S Cloverdale St.,Seattle, WA 98118";2022-04-26 07:55:00;248;118;0,4758064516;1;0,004032258065;129;0,5201612903;0;0;66;0,2661290323;78;0,314516129;61;0,2459677419;0;0;34;0,1370967742;9;0,03629032258;85;0,3427419355;0;0;10;0,04032258065;42;0,1693548387;179;0,7217741935;1;0,004032258065;1;0,004032258065;9;0,03629032258;0;0;32;0,0006828824142;163;0,6572580645;248;1;238;0,9596774194;206;0,8306451613;69;0,2782258065;247;0,9959677419;247;0,9959677419;239;0,9637096774;248;1;216;0,8709677419;0,5543;0,5543;0,5543;0,6446;0,734082397003745;0,6443;"Yes";"School-wide";"School-wide";2022-04-26 09:30:00;95;-122,274715;47,525035;"53033011801";67905,8181818182;"50-100K";2022-04-26 09:00:00;"Yes";0,6443
"22";"Eckstein Middle School";"Go2Work_0800";7403;48373;0,153039918963058;8H 0M 0S;0,459884646393649;2022-04-26 08:00:00;"Eckstein ​";2;"8:30 a.m.";"3:20 p.m.";"Middle School";"Eckstein Middle School";"3003 NE 75th St.";"Seattle, WA 98115";"3003 NE 75th St.,Seattle, WA 98115";2022-04-26 08:55:00;1055;522;0,4947867299;9;0,008530805687;524;0,4966824645;10;0,009478672986;87;0,08246445498;53;0,05023696682;86;0,08151658768;3;0,002843601896;163;0,1545023697;653;0,618957346;41;0,03886255924;0;0;82;0,07772511848;8;0,007582938389;178;0,1687203791;0;0;4;0,003791469194;20;0,01895734597;47;0,04454976303;146;7,187619326e-06;1014;0,9611374408;1053;0,9981042654;973;0,9222748815;1047;0,9924170616;877;0,8312796209;1055;1;1051;0,9962085308;1035;0,981042654;1008;0,955450237;909;0,8616113744;0,1351;0,1351;0,1351;0,1167;0,134575569358178;0,1288;"No";NA;"No";2022-04-26 08:30:00;-25;-122,29444;47,68164;"53033003800";127185,703125;"100-150K";2022-04-26 08:00:00;"No";0,1288
